Event,Room,Category,Color,TimeSlot,Subevent
"""Your Mom vs. the Noobs"" aka Otaku Mad Libs","('Sheraton', 'Panel Gardner')",Fan Panel,#00FF00,"['17:30', '17:45', '18:00', '18:15']",
50% Off,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['20:45', '21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30']",
A Brief History of Anime at the Movies,"('Hynes', 'Panel 207')",Guest Panel,#00FFFF,"['16:30', '16:45', '17:00', '17:15']",
A Certain Magical Index,"('Hynes', 'Video 210')",Video,#66A3D2,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45']",
A Plus Size Cosplayer’s Survival Guide to Costuming & Performance,"('Sheraton', 'Workshop Fairfax')",Fan Panel,#00FF00,"['17:30', '17:45', '18:00', '18:15']",
A Taste Of Reality,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['22:45', '23:00', '23:15', '23:30']",
A guide to engaging young fans & club advisor meetup,"('Hynes', 'Panel 208')",Featured Panel,#00FF99,"['15:00', '15:15', '15:30', '15:45', '16:00', '16:15']",
AMV 101,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['11:45', '12:00', '12:15', '12:30']",
AMV Contest,"('Hynes', 'Ballroom B')",Event,#E8D37E,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30', '22:45', '23:00', '23:15', '23:30', '23:45']",
AMV Genkis,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['09:00', '09:15', '09:30', '09:45', '10:00']",
AMV Timewarp (2003-2011),"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['18:45', '19:00', '19:15']",
Accel World,"('Hynes', 'Video 210')",Video,#66A3D2,"['12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45']",
Adrenaline Rush,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['19:30', '19:45', '20:00', '20:15']",
All the Feels,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['17:15', '17:30', '17:45', '18:00', '18:15', '18:30']",
An Hour with Yukana! Friday Q&A,"('Sheraton', 'Panel Gardner')",Guest Panel,#00FFFF,"['13:00', '13:15', '13:30', '13:45']",
Angry Gods of Medieval Japan,"('Hynes', 'Panel 207')",Guest Panel,#00FFFF,"['15:00', '15:15', '15:30', '15:45']",
