Event,Room,Category,Color_x,TimeSlot,Utility,Color_y,Data Value
"""Make It to Fake It"" (How to Make EVA Foam Look Like Anything )","('Sheraton', 'Workshop Fairfax')",Arts and Crafting|Partner Content,#CC99FF|#FF69B4,"['19:30', '19:45', '20:00', '20:15']",,,
25 Great Anime Movies you've Never Heard of,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['16:00', '16:15', '16:30', '16:45']",6.0,#72B7ED,48.0
25 Years Behind the Mic with Greg Ayres,"('Hynes', 'Events 302')",Guest Content,#00FF00,"['18:00', '18:15', '18:30', '18:45']",5.0,#00FF00,58.0
30 Years Ago: Anime in 1995,"('Hynes', 'Panel 207')",Guest Content,#00FF00,"['12:30', '12:45', '13:00', '13:15']",5.0,#00FF00,58.0
50 Years of Black Jack,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']",6.0,#72B7ED,48.0
50% off,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['20:45', '21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30']",5.0,#CCFF66,32.0
A Beginner's Guide to Idol Dance,"('Hynes', 'Panel 309')",Idols and VTubers,#CCFFFF,"['11:00', '11:15', '11:30', '11:45']",5.0,#CCFFFF,75.0
A Cozy Conversation with Jill Harris & Kana Ichinose,"('Sheraton', 'Grand Ballroom')",Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']",6.0,#72B7ED,48.0
A History of the Japanese Sword,"('Hynes', 'Panel 310')",Partner Content,#FF69B4,"['15:00', '15:15', '15:30', '15:45']",5.0,#FF69B4,61.0
A Look at Anime in the 90s,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['12:00', '12:15', '12:30', '12:45']",5.0,#FF69B4,60.0
AMV Contest,"('Hynes', 'Ballroom B')",Video,#66A3D2,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30', '22:45', '23:00', '23:15']",4.0,#66A3D2,1.0
AMV Genkis,"('Hynes', 'Fan Creations 312')",Family Friendly,#A64FF7,"['09:00', '09:15', '09:30', '09:45']",5.0,#A64FF7,56.0
AMV Sing-A-Long,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['13:00', '13:15', '13:30', '13:45']",4.0,#66A3D2,1.0
All the Feels,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['17:30', '17:45', '18:00', '18:15']",5.0,#CCFF66,32.0
American 'Anime' That Time Forgot,"('Sheraton', 'Panel Constitution B')",Anime,#FFFF00,"['18:30', '18:45', '19:00', '19:15']",4.0,#FFFF00,76.0
Anime Jeopardy!,"('Hynes', 'Panel 310')",Gameshow,#72B7ED,"['19:30', '19:45', '20:00', '20:15']",7.0,#72B7ED,13.0
Anime On Trial,"('Sheraton', 'Panel Constitution B')",Stage Show,#AFE1F1,"['12:30', '12:45', '13:00', '13:15']",6.0,#AFE1F1,47.0
