Category	Utility	Color	Data Value
18+	6	#F44336	53
21+	4	#F44336	54
Activity	5	#F7931E	51
After Dark	4	#F44336	55
Anime	4	#FFFF00	76
Arts and Crafting	5	#CC99FF	63
Con Culture	5	#00FFFF	82
Concert	7	#AFE1F1	45
Cosplay	5	#CC99FF	65
Dance	8	#CCFFFF	68
Family Friendly	5	#A64FF7	56
Fan Content	5	#FF69B4	60
Fan Creations	5	#CCFF66	32
Fashion	5	#CC99FF	66
Food	6	#FFCCFF	70
Gameshow	7	#72B7ED	13
Gaming	6	#FFCC00	74
Guest Content	5	#00FF00	58
History	5	#CCFFCC	78
ID Check	0	#999999	20
Idols and VTubers	5	#CCFFFF	75
Industry Content	5	#55ED99	59
Language	5	#FFCCFF	71
Libraries & Education	3	#CCFF00	29
Manga	5	#CCFF00	64
Music	6	#CCFFFF	67
Myth and Folklore	5	#FFCCFF	84
Panel	6	#72B7ED	48
Partner Content	5	#FF69B4	61
Q&A	5	#72B7ED	49
Representation	4	#00FFFF	81
Room Clear	0	#CCCCCC	19
Seating	0	#CCCCCC	31
Social Event	5	#F7931E	50
Social Gatherings	5	#FF3366	42
Sports	4	#CCFFCC	80
Stage Show	6	#AFE1F1	47
Tournament	5	#F7931E	52
Travel	5	#CCFFCC	79
Video	4	#66A3D2	1
Workshop	5	#F7931E	21
