Event,Utility_general_JRW,Room,Category,Color,TimeSlot
Slumber Party,0,"('Hynes', 'Ballroom A')",Family Friendly,#A64FF7,"['23:00', '23:15', '23:30', '23:45', '00:00', '00:15', '00:30', '00:45', '01:00', '01:15']"
Sustainability in Cosplay,0,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['15:00', '15:15', '15:30', '15:45']"
Pokémon trainer academy,0,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45']"
DMBJ Only-Discover Chinese ACGN culture,0,"('Hynes', 'Panel 207')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']"
Otakus Unite!: Anime Club Starter Kit,0,"('Sheraton', 'Panel Gardner')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']"
Ghost Stories: Ghosts Beyond the Infamous Dub,0,"('Sheraton', 'Panel Constitution A')",Fan Content,#FF69B4,"['16:00', '16:15', '16:30', '16:45']"
K-Pop Time!,0,"('Hynes', 'Ballroom A')",Music,#CCFFFF,"['16:00', '16:15', '16:30', '16:45']"
Twenty-Five Years Of,0,"('Sheraton', 'Grand Ballroom')",Panel,#72B7ED,"['21:30', '21:45', '22:00', '22:15', '22:30', '22:45', '23:00', '23:15', '23:30', '23:45']"
Anime Connect - Anime's Toughest Quiz Show,0,"('Hynes', 'Panel 309')",Representation,#00FFFF,"['12:00', '12:15', '12:30', '12:45']"
Three Ways of Looking at a Heron: A Miyazaki Analysis,1,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']"
Swap Meet,2,"('Hynes', 'Ballroom A')",Activity,#F7931E,"['19:30', '19:45', '20:00', '20:15', '20:30', '20:45', '21:00', '21:15']"
All the Mecha You'll Ever Need,2,"('Hynes', 'Panel 207')",Anime,#FFFF00,"['12:30', '12:45', '13:00', '13:15']"
"""Make It to Fake It"" (How to Make EVA Foam Look Like Anything )",2,"('Sheraton', 'Workshop Fairfax')",Arts and Crafting|Partner Content,#CC99FF|#FF69B4,"['09:30', '09:45', '10:00', '10:15']"
Cosplay Posing 101,2,"('Hynes', 'Panel 207')",Cosplay,#CC99FF,"['09:30', '09:45', '10:00', '10:15']"
Cosplay Music Videos,2,"('Hynes', 'Fan Creations 312')",Cosplay,#CC99FF,"['10:00', '10:15', '10:30', '10:45']"
Cosplay Wigs for Beginners,2,"('Hynes', 'Panel 309')",Cosplay,#CC99FF,"['13:30', '13:45', '14:00', '14:15']"
Enter the Wired: Serial Experiments Lain in 2025,2,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['01:00', '01:15', '01:30', '01:45']"
The Insomniac's Guide to Vampire Anime,2,"('Hynes', 'Panel 208')",Fan Content,#FF69B4,"['11:30', '11:45', '12:00', '12:15']"
Remembering Akira Toriyama,2,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['17:45', '18:00']"
Frills and Bills: A Lolita Shopping Guide,2,"('Hynes', 'Panel 202')",Fashion,#CC99FF,"['15:00', '15:15', '15:30', '15:45']"
BL Manga Making with Ayamine-sensei,2,"('Hynes', 'Panel 207')",Guest Content,#00FF00,"['17:00', '17:15', '17:30', '17:45']"
Anime on Video: We Love Physical Media!,2,"('Hynes', 'Panel 208')",Guest Content,#00FF00,"['17:30', '17:45', '18:00', '18:15']"
Post-War Japanese Literature and the Global West,2,"('Hynes', 'Panel 202')",History,#CCFFCC,"['10:30', '10:45', '11:00', '11:15']"
The Heretic Artists of Great Japan: A History of Visual Kei,2,"('Sheraton', 'Panel Gardner')",History,#CCFFCC,"['20:00', '20:15', '20:30', '20:45']"
Ainu Representation in Anime: Kawaii & Colonialism,2,"('Sheraton', 'Panel Gardner')",Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']"
Plus Size Lolita Fashion,2,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']"
"Dear Jujutsu Kaisen, Have We Met Before?",2,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']"
Gundam Building - Beginner,2,"('Sheraton', 'Panel Gardner')",Partner Content|Workshop,#F7931E|#FF69B4,"['11:00', '11:15', '11:30', '11:45']"
Black Characters Matter: The Intersection of Race and Otaku Culture,2,"('Hynes', 'Panel 208')",Representation,#00FFFF,"['16:00', '16:15', '16:30', '16:45']"
One Piece Gathering,2,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['12:30', '12:45', '13:00', '13:15']"
Genshin Impact Gathering,2,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['14:30', '14:45', '15:00', '15:15']"
Mada Mada Dane! 70 Years of Sports Manga and Anime,2,"('Hynes', 'Panel 309')",Sports,#CCFFCC,"['09:00', '09:15', '09:30', '09:45']"
Lolita and J-Fashion Show,2,"('Hynes', 'Events 302')",Stage Show,#AFE1F1,"['12:30', '12:45', '13:00', '13:15', '13:30', '13:45']"
hololive Meet SUPER KARAOKE PARTY,2,"('Hynes', 'Ballroom B')",Stage Show,#AFE1F1,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
Getter Robo Armageddon,2,"('Hynes', 'Video 210')",Video,#66A3D2,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']"
