Category,Color,Data Value,Utility
18+ Cosplay,#AA99FF,35,0
18+ Event,#CC9966,12,0
18+ Fan Creations,#669966,33,0
18+ Fan Panel,#669900,10,0
18+ Featured Panel,#66CC00,15,0
18+ Gameshow,#9900FF,11,0
18+ Guest Panel,#669999,17,0
18+ Video,#F7921B,3,0
21+ Event,#FF0000,27,0
Ball,#CC9900,40,0
Concerts,#996633,30,0
Cosplay Games,#EEAEEE,36,0
Event,#E8D37E,9,0
Fan Creations,#CCFF66,32,0
Fan Panel,#00FF00,5,0
Featured Artist,#CCFFCC,28,0
Featured Panel,#00FF99,6,0
Gameshow,#72B7ED,13,0
Guest Panel,#00FFFF,8,0
ID Check,#999999,20,0
Idol Events,#FF99CC,41,0
Industry Panel,#3399FF,7,0
Jam Zone,#CC0000,44,0
Karaoke,#9933FF,25,0
Libraries & Education,#CCFF00,29,0
Lolita & J-fashion,#CC6699,23,0
Maid Café,#CCCCFF,39,0
Premiere Video,#FF9966,4,0
Room Clear,#CCCCCC,19,0
Seating,#CCCCCC,31,0
Social Gatherings,#FF3366,42,0
Tabletop Gaming,#CC0066,34,0
Video,#66A3D2,1,0
Workshop,#F7931E,21,0
